Text,Emotion
didnt feel humiliated,sadness
go feeling hopeless damned hopeful around someone care awake,sadness
im grabbing minute post feel greedy wrong,anger
ever feeling nostalgic fireplace know still property,love
feeling grouchy,anger
ive feeling little burdened lately wasnt sure,sadness
ive taking milligram time recommended amount ive fallen asleep lot faster also feel like funny,surprise
feel confused life teenager jaded year old man,fear
petronas year feel petronas performed well made huge profit,joy
feel romantic,love
feel like make suffering seeing mean something,sadness
feel running divine experience expect type spiritual encounter,joy
think easiest time year feel dissatisfied,anger
feel low energy thirsty,sadness
immense sympathy general point possible proto writer trying find time write corner life sign agent let alone publishing contract feel little precious,joy
feel reassured anxiety side,joy
didnt really feel embarrassed,sadness
feel pretty pathetic time,sadness
started feeling sentimental doll child began collection vintage barbie doll sixty,sadness
feel compromised skeptical value every unit work put,fear
feel irritated rejected without anyone anything saying anything,anger
feeling completely overwhelmed two strategy help feel grounded pour heart journal form letter god end list five thing grateful,fear
feeling amused delighted,joy
able help chai lifeline support encouragement great feeling glad able help,joy
already feel like fucked though dont usually eat morning,anger
still love wish best longer tolerate effect bm life fact turned bitter angry person always particularly kind people around feeling stressed,sadness
feel inhibited someone el kitchen like im painting someone el picture,sadness
become overwhelmed feel defeated,sadness
feel kinda appalled feel like need explain wide lenghth body measure etc pp,anger
feel superior dead chicken grieving child,joy
get giddy feeling elegant perfectly fitted pencil skirt,joy
remember feeling acutely distressed day,fear
seen heard read past couple day left feeling impressed company,surprise
climbed hill feeling frustrated id pretty much paced entirely wrong course factor never ever hampered made dent day,anger
imagine real life scenario would emotionally connected enough someone feel totally accepted safe morally acceptable close prolonged physical contact sex expected subsequently,joy
sure would make feel content anything,joy
feeling need creative,joy
however want know something someone causing feel le splendid self step away,joy
feel bit rude writing elderly gentleman ask gift feel bit greedy christmas mild greed,anger
need need someone need protected feel safe small find season word,joy
plan share everyday life story traveling adventure inspiration handmade creation hope also feel inspired,joy
already christmas tree got two feeling festive sure spurring get started book,joy
ive worn little concealer day im feeling brave dont want pale perfect,joy
feel strongly passionate jerk decides poke make fun u,joy
feeling discouraged already robbing peter pay paul get cow year cant afford get cow way,sadness
feeling listless need new thing something different,sadness
lost special mind worry still sane wanted feel felt reading book know many time said sam special guarantee many time used paragraph tell special,joy
let go sad feeling want accepted first home mine,love
boat trip denmark,joy
stopped feeling cold began feeling hot,anger
need feel dough make sure perfect,joy
found feeling little discouraged morning,sadness
feel selfish spoiled,anger
stymied little bit wrote feeling unsure might go somewhere story unintended,fear
bag qaf look cryin jacynthe lookin good feelin gorgeous rupaul skin scissor sister valentine sun fed kayle daddy gerling awake unkind u,joy
feel know basically like fake realm science fiction,sadness
hate living dad roof give excuse asshole providing live think feel need make feel unwelcome possible ill leave,sadness
keep feeling pleasantly surprised supportiveness also ease new situation,surprise
feeling anymore vigorous sexual activity coming yes misspelt cumming day part begin fall,joy
feel mom graceful warm loving smile rob time nurture heal,joy
feel talk brother law extremely popular one think stiff,joy
ate could feel gentle tingle throughout almost feeling healing taking place cellular level,love
feel like pressured young beautiful thin depending trend girl rejuvenated butt implant,fear
began several time week feeling tortured hallucination moving people figure sound vibration,fear
nearly finished week detox feel amazing,surprise
feel selfish read back former post never asked prayer others never considered may others deserve prayer answered,anger
know pain parent feel enraged child becomes violent,anger
roller coaster emotion supposed feeling something unpleasant coming,sadness
suppose truth need shared havent feeling faithful lately ive dwelled doubt uncertainty faith,love
feeling brave bought clearly makeup,joy
feeling miserable c also proudest mum earth,sadness
figure family love u matter around anyone else feel embarrassed michelle go ballistic,sadness
necessarily think f bomb sex necessary story feel reassured see print journal,joy
feel ovary aching talking like put,sadness
feel like much chris mostly took many picture unimportant stuff,sadness
im tired book ready finding given unsuitable image feeling blamed result sit well,sadness
successfully manage stretch mxm canvas feel achievement worthwhile usage money time use canvas future brief,joy
think feeling one nay important thing,joy
feel completely honored influence young talented fully alive beautiful girl woman,joy
feel angered firey,anger
feel like miserable piece garbage,sadness
feel like need make list leanne would appalled thought dont miss anything,anger
drove dannika school feeling little bit rushed greeted turned corner,anger
remember feeling hellip furious shooter,anger
feel happy excited since learned many thing,joy
feel show around show horse people trusting relaxed show horse safe quiet handled frequently,joy
couple thing left make start december done feeling smug,joy
think u could make feel realize everything ok,joy
feel worthless time struggling finding work,sadness
able lay bed dark feel terrified least,fear
ready meet mom airport feel ever supportive arm around,love
im feeling bitter today mood strange entire day guess,anger
mum brother passed away involved car accident bringing present passed form five exam flying colour,sadness
letting go animosity towards anyone feel wronged,anger
talk dog feel understand word read emotion know supportive decided go home,love
feel like throwing away shitty piece shit paper,sadness
im starting feel wryly amused banal comedy error life turning,joy
find every body beautiful want people feel vital body,joy
hear owner feel victimized association association attorney property manager,sadness
say goodbye fam theyre sad cry feel like heartless bitch hey im pretty excited flying first time know also spend year another country,anger
wont let child cry feel loving lily little going opportunity lasted short month,love
alba feel good im fitting,joy
feel excited im feel like ton catching,joy
also know good feel look back see honored word help start,joy
mean really really hard work obtain high technical skill wushu feel kinda ashamed somehow motivated saw kid wushu performance whole heartedly despite tiredness,sadness
feel like thing getting little overwhelming spritz toner really help calm soothe,joy
hope realize little effort required make person feel better situation whether family member college high school friend neighbor street even complete stranger,joy
feeling festive today even going put tree soon finished catching week going ons coronation street,joy
finding ill seriously,joy
alright class combination feeling unsuccessful man handled stress late horrible week resulted almost cry finished grappling,sadness
feel rarely advance worthwhile cause always stick rule posting anything online wouldnt prepared say somebody face,joy
feeling useful,joy
feel like pain imagine becoming passionate group idea causing pain,love
feel ugly inclined wear ratty jean sweatshirt beautiful dress though might still wear pair heel around house boost self esteem ever slightly definitely bother buy new pair,sadness
im feeling homesick yet im feeling alright,sadness
dance feel pretty,joy
workout every morning feel fabulous,joy
feel eye touch word eye know assuredly return love know shall vain,sadness
feeling fabulous friday morning started get awful cramp work,joy
feel honoured able call friend share brotherhood,joy
begun feel apprehensive thick black rain cloud stormed sky town,fear
stated reason feel fearful feel unsafe,fear
feel like getting shaken tsa quite yet pulled side creative croissant lunch,fear
get group feel really awkward overcompensate talkative getting really quiet,sadness
excited finally meet companion companion time especially lonely lonely companion never disappoint companion put arm around make feel loved,love
feel pretty safe blog img src http,joy
feel pretty eager get done fun plan quilting,joy
feeling horny ask let go home,love
think poem put pressure feel uncomfortable sense feeling feel understanding understand loving able love,fear
feel stranger strange land raising son place father ancestral home,surprise
left shower questioning feel gorgeous fantastic body confident movement effortlessly graceful,joy
feel energetic bouncy happy go gym run around outside kid take pram long walk often three one day,joy
still feeling strong,joy
burst tear devastating release feeling thought seemed know rich also go space without dumping,joy
wanted get pumpkin spice latte morning hot last thing wanted hot coffee maybe feeling little bitter,anger
suppose feel badly bit skeptical pain last month shes hyperchondria exaggeration habit past though never openly questioned,fear
clench corner bed feel assured,joy
also feel like selfish grateful life amazing thing,anger
called god seen god book figured god right name feeling utterly affirmed accepted without question,love
know perhaps girl office nice short hair perhaps feeling rebellious,anger
feel miserable family type celebrates eid,sadness
might go get car wash feeling really generous car need,joy
still feel sleep deprived almost sleeping night giving u,sadness
feel really violent right,anger
bloging sitting feeling content dog amp cat etc know lucky truth,joy
started feeling funny friday woke sick dog,surprise
feel need protect parent witch hunt repressed memory therapy,sadness
feel disgusted even associated woman race nationality,anger
laughed bitterly wasnt feeling bitter,anger
